Parameter,Mean,Std,Min,25%,Median,75%,Max
params_batch_size,64.0,0.0,64.0,64.0,64.0,64.0,64.0
params_dnn_dropout_0,0.4,0.0,0.4,0.4,0.4,0.4,0.4
params_dnn_dropout_1,0.5,0.0,0.5,0.5,0.5,0.5,0.5
params_dnn_dropout_2,0.12222222222222223,0.044095855184409845,0.1,0.1,0.1,0.1,0.2
params_dnn_dropout_3,,,,,,,
params_dnn_dropout_4,,,,,,,
params_dnn_dropout_5,,,,,,,
params_dnn_units_0,440.8888888888889,496.97395415767124,224.0,256.0,288.0,288.0,1760.0
params_dnn_units_1,1575.111111111111,67.46192341692543,1472.0,1536.0,1568.0,1600.0,1696.0
params_dnn_units_2,1365.3333333333333,94.65727652959386,1216.0,1280.0,1408.0,1440.0,1472.0
params_dnn_units_3,,,,,,,
params_dnn_units_4,,,,,,,
params_dnn_units_5,,,,,,,
params_learning_rate,0.0001234718428656618,4.324065885647031e-05,6.533825005780385e-05,9.699184005369335e-05,0.00012382680413132007,0.00013833025159417124,0.00019810290071538826
params_num_layers,3.0,0.0,3.0,3.0,3.0,3.0,3.0
