Parameter,Mean,Std,Min,25%,Median,75%,Max
params_batch_size,128.0,78.38367176906169,64.0,64.0,128.0,128.0,256.0
params_dnn_dropout_0,0.24444444444444446,0.1810463415200036,0.0,0.1,0.30000000000000004,0.4,0.5
params_dnn_dropout_1,0.32857142857142857,0.23603873774083295,0.0,0.15000000000000002,0.5,0.5,0.5
params_dnn_dropout_2,0.36000000000000004,0.11401754250991379,0.2,0.30000000000000004,0.4,0.4,0.5
params_dnn_dropout_3,0.3,0.282842712474619,0.1,0.2,0.3,0.4,0.5
params_dnn_dropout_4,0.0,,0.0,0.0,0.0,0.0,0.0
params_dnn_dropout_5,,,,,,,
params_dnn_units_0,1077.3333333333333,602.7138624587956,192.0,768.0,928.0,1664.0,1920.0
params_dnn_units_1,1412.5714285714287,437.7605346696818,512.0,1360.0,1472.0,1680.0,1824.0
params_dnn_units_2,1222.4,408.79921722038563,832.0,896.0,1216.0,1312.0,1856.0
params_dnn_units_3,720.0,972.9789309126894,32.0,376.0,720.0,1064.0,1408.0
params_dnn_units_4,32.0,,32.0,32.0,32.0,32.0,32.0
params_dnn_units_5,,,,,,,
params_learning_rate,0.0010276018923325641,0.0013688138618883512,4.833287949112167e-05,0.00010868273377714747,0.0005938262984850207,0.0012561304025736687,0.004194495130058847
params_num_layers,2.6666666666666665,1.3228756555322954,1.0,2.0,3.0,3.0,5.0
