Parameter,Mean,Std,Min,25%,Median,75%,Max
params_batch_size,112.0,43.357589843243424,64.0,64.0,128.0,128.0,256.0
params_dense_1_dropout,0.375,0.12817398889233114,0.2,0.275,0.4,0.5,0.5
params_dense_1_units,256.0,132.492587393732,128.0,128.0,224.0,384.0,448.0
params_dense_2_dropout,0.275,0.12583057392117916,0.1,0.25000000000000006,0.30000000000000004,0.32500000000000007,0.4
params_dense_2_units,352.0,110.85125168440814,192.0,336.0,384.0,400.0,448.0
params_dense_3_dropout,0.0,0.0,0.0,0.0,0.0,0.0,0.0
params_dense_3_units,320.0,271.5290039756342,128.0,224.0,320.0,416.0,512.0
params_learning_rate,0.0012583857289098755,0.000891726699053946,3.273972336427375e-05,0.0007315332693231617,0.001132998322271399,0.0015750180419971298,0.006801019199928727
params_lstm_dropout_layer_0,0.0411764705882353,0.11874379055897008,0.0,0.0,0.0,0.0,0.5
params_lstm_dropout_layer_1,0.1873015873015873,0.10997369699022534,0.0,0.1,0.2,0.25,0.5
params_lstm_dropout_layer_2,0.17692307692307693,0.10919284281983378,0.0,0.1,0.2,0.2,0.4
params_lstm_dropout_layer_3,0.13333333333333336,0.17320508075688773,0.0,0.0,0.1,0.2,0.5
params_lstm_dropout_layer_4,0.175,0.17078251276599332,0.0,0.07500000000000001,0.15000000000000002,0.25,0.4
params_lstm_dropout_layer_5,0.25,0.3535533905932738,0.0,0.125,0.25,0.375,0.5
params_lstm_recurrent_dropout_layer_0,0.2647058823529412,0.08597935517971905,0.1,0.2,0.2,0.30000000000000004,0.5
params_lstm_recurrent_dropout_layer_1,0.31269841269841264,0.1198009955961424,0.0,0.30000000000000004,0.4,0.4,0.5
params_lstm_recurrent_dropout_layer_2,0.4230769230769231,0.11657505560686465,0.1,0.4,0.5,0.5,0.5
params_lstm_recurrent_dropout_layer_3,0.288888888888889,0.1615893285805443,0.0,0.2,0.30000000000000004,0.4,0.5
params_lstm_recurrent_dropout_layer_4,0.15000000000000002,0.12909944487358058,0.0,0.07500000000000001,0.15000000000000002,0.22500000000000003,0.30000000000000004
params_lstm_recurrent_dropout_layer_5,0.45,0.07071067811865474,0.4,0.42500000000000004,0.45,0.475,0.5
params_lstm_units_layer_0,140.23529411764707,35.842989966839404,32.0,128.0,160.0,160.0,256.0
params_lstm_units_layer_1,169.14285714285714,66.38860598482465,32.0,160.0,192.0,224.0,256.0
params_lstm_units_layer_2,115.6923076923077,81.10012804694435,32.0,64.0,96.0,192.0,256.0
params_lstm_units_layer_3,142.22222222222223,62.1968202116832,32.0,96.0,128.0,192.0,224.0
params_lstm_units_layer_4,96.0,69.12790078301718,32.0,56.0,80.0,120.0,192.0
params_lstm_units_layer_5,64.0,0.0,64.0,64.0,64.0,64.0,64.0
params_num_dense_layers,0.20588235294117646,0.6361925815961414,0.0,0.0,0.0,0.0,3.0
params_num_layers,2.338235294117647,1.03101593307675,1.0,2.0,2.0,2.0,6.0
