Parameter,Mean,Std,Min,25%,Median,75%,Max
params_batch_size,184.88888888888889,87.31042956663947,64.0,128.0,256.0,256.0,256.0
params_dnn_dropout_0,0.2555555555555556,0.18782379449307743,0.0,0.1,0.30000000000000004,0.4,0.5
params_dnn_dropout_1,0.39999999999999997,0.15491933384829668,0.1,0.4,0.45,0.5,0.5
params_dnn_dropout_2,0.25,0.21213203435596428,0.1,0.17500000000000002,0.25,0.325,0.4
params_dnn_dropout_3,0.1,,0.1,0.1,0.1,0.1,0.1
params_dnn_dropout_4,0.4,,0.4,0.4,0.4,0.4,0.4
params_dnn_dropout_5,,,,,,,
params_dnn_units_0,839.1111111111111,595.6165806213853,192.0,320.0,640.0,1216.0,1792.0
params_dnn_units_1,1157.3333333333333,303.8596167092078,864.0,936.0,1088.0,1288.0,1664.0
params_dnn_units_2,928.0,543.0580079512685,544.0,736.0,928.0,1120.0,1312.0
params_dnn_units_3,800.0,,800.0,800.0,800.0,800.0,800.0
params_dnn_units_4,1344.0,,1344.0,1344.0,1344.0,1344.0,1344.0
params_dnn_units_5,,,,,,,
params_learning_rate,0.000183093094361007,0.0002599764198718448,1.2028592533602666e-05,3.15268217214466e-05,8.65491076135418e-05,0.00015217409369766541,0.0008035291620242101
params_num_layers,2.111111111111111,1.2692955176439846,1.0,1.0,2.0,2.0,5.0
