Parameter,Category,Fraction,Count
params_dnn_activation_0,elu,0.6,21
params_dnn_activation_0,swish,0.2857142857142857,10
params_dnn_activation_0,relu,0.08571428571428572,3
params_dnn_activation_0,sigmoid,0.02857142857142857,1
params_dnn_activation_1,elu,0.75,6
params_dnn_activation_1,sigmoid,0.125,1
params_dnn_activation_1,leaky_relu,0.125,1
params_dnn_activation_2,sigmoid,0.5,3
params_dnn_activation_2,leaky_relu,0.3333333333333333,2
params_dnn_activation_2,elu,0.16666666666666666,1
params_dnn_activation_3,tanh,0.75,3
params_dnn_activation_3,leaky_relu,0.25,1
params_dnn_activation_4,tanh,1.0,1
params_optimizer,AdamW,1.0,35
params_scaler,StandardScaler,0.7428571428571429,26
params_scaler,MinMaxScaler_0_1,0.22857142857142856,8
params_scaler,MinMaxScaler_-1_1,0.02857142857142857,1
