W,kappa,mu,m,SNR,Limiar,3,4,5,6,7,10,15
1,1.00E-16,1,0.001,1.25,0.95,1.33E-01,9.48E-02,7.84E-02,7.53E-02,7.72E-02,7.47E-02,7.48E-02
1,1.00E-16,1,2,1.25,0.95,1.34E-01,9.56E-02,7.90E-02,7.58E-02,7.78E-02,7.53E-02,7.53E-02
1,1.00E-16,1,50,1.25,0.95,1.33E-01,9.55E-02,7.89E-02,7.58E-02,7.79E-02,7.52E-02,7.53E-02
1,1.00E-16,2,50,1.25,0.95,6.54E-02,3.07E-02,2.37E-02,2.07E-02,2.20E-02,2.05E-02,2.05E-02
1,1.00E-16,5,50,1.25,0.95,2.51E-02,3.22E-03,2.08E-03,1.25E-03,1.45E-03,1.21E-03,1.21E-03
1,5,1,0.001,1.25,0.95,9.40E-01,9.29E-01,9.13E-01,9.12E-01,9.14E-01,9.11E-01,9.11E-01
1,5,1,2,1.25,0.95,8.98E-02,5.44E-02,4.28E-02,3.99E-02,4.15E-02,3.95E-02,3.95E-02
1,5,1,50,1.25,0.95,4.26E-02,1.48E-02,1.05E-02,8.73E-03,9.43E-03,8.59E-03,8.60E-03
1,5,2,0.001,1.25,0.95,9.63E-01,9.56E-01,9.50E-01,9.49E-01,9.51E-01,9.49E-01,9.49E-01
1,5,2,2,1.25,0.95,6.56E-02,3.08E-02,2.35E-02,2.07E-02,2.19E-02,2.05E-02,2.05E-02
1,5,2,50,1.25,0.95,2.17E-02,2.51E-03,1.53E-03,9.14E-04,1.05E-03,8.93E-04,8.94E-04
1,5,5,0.001,1.25,0.95,9.72E-01,9.71E-01,9.70E-01,9.69E-01,9.70E-01,9.69E-01,9.69E-01
1,5,5,2,1.25,0.95,5.09E-02,1.78E-02,1.30E-02,1.06E-02,1.16E-02,1.05E-02,1.05E-02
1,5,5,50,1.25,0.95,1.24E-02,1.64E-04,8.56E-05,1.67E-05,2.00E-05,1.33E-05,1.33E-05
