Parameter,Mean,Std,Min,25%,Median,75%,Max
params_batch_size,208.0,88.87872957816494,64.0,208.0,256.0,256.0,256.0
params_dnn_dropout_0,0.23750000000000004,0.19226098333849673,0.0,0.07500000000000001,0.25,0.4,0.5
params_dnn_dropout_1,0.19999999999999998,0.17320508075688773,0.0,0.05,0.2,0.35000000000000003,0.4
params_dnn_dropout_2,0.36,0.16733200530681513,0.1,0.30000000000000004,0.4,0.5,0.5
params_dnn_dropout_3,0.16666666666666666,0.2081665999466133,0.0,0.05,0.1,0.25,0.4
params_dnn_dropout_4,0.4,0.14142135623730948,0.30000000000000004,0.35000000000000003,0.4,0.45,0.5
params_dnn_dropout_5,,,,,,,
params_dnn_units_0,1220.0,618.717567692585,96.0,1112.0,1440.0,1600.0,1760.0
params_dnn_units_1,1005.7142857142857,685.0434814145533,128.0,544.0,1088.0,1440.0,1856.0
params_dnn_units_2,748.8,308.2648212170828,352.0,704.0,704.0,768.0,1216.0
params_dnn_units_3,1034.6666666666667,829.7405216893612,448.0,560.0,672.0,1328.0,1984.0
params_dnn_units_4,432.0,475.1757569573599,96.0,264.0,432.0,600.0,768.0
params_dnn_units_5,,,,,,,
params_learning_rate,0.0005957985781577953,0.0011983189052810106,1.3371896356696488e-05,4.4151911118421694e-05,6.878917732829679e-05,0.0003925747914648502,0.003496353565194686
params_num_layers,3.125,1.4577379737113252,1.0,2.0,3.0,4.25,5.0
