Parameter,Category,Fraction,Count
params_cnn1d_activation_0,swish,0.3333333333333333,4
params_cnn1d_activation_0,tanh,0.25,3
params_cnn1d_activation_0,sigmoid,0.16666666666666666,2
params_cnn1d_activation_0,leaky_relu,0.08333333333333333,1
params_cnn1d_activation_0,elu,0.08333333333333333,1
params_cnn1d_activation_0,relu,0.08333333333333333,1
params_cnn1d_activation_1,sigmoid,0.375,3
params_cnn1d_activation_1,elu,0.25,2
params_cnn1d_activation_1,relu,0.125,1
params_cnn1d_activation_1,swish,0.125,1
params_cnn1d_activation_1,tanh,0.125,1
params_cnn1d_activation_2,swish,0.5,2
params_cnn1d_activation_2,leaky_relu,0.25,1
params_cnn1d_activation_2,elu,0.25,1
params_cnn1d_activation_3,leaky_relu,0.6666666666666666,2
params_cnn1d_activation_3,elu,0.3333333333333333,1
params_cnn1d_use_batch_norm_1,True,0.75,6
params_cnn1d_use_batch_norm_1,False,0.25,2
params_cnn1d_use_batch_norm_2,False,0.75,3
params_cnn1d_use_batch_norm_2,True,0.25,1
params_cnn1d_use_batch_norm_3,False,1.0,3
params_dense_1_activation,swish,0.42857142857142855,3
params_dense_1_activation,elu,0.2857142857142857,2
params_dense_1_activation,relu,0.14285714285714285,1
params_dense_1_activation,tanh,0.14285714285714285,1
params_dense_2_activation,swish,0.6,3
params_dense_2_activation,sigmoid,0.2,1
params_dense_2_activation,tanh,0.2,1
params_dense_3_activation,elu,1.0,1
params_optimizer,AdamW,1.0,12
params_scaler,StandardScaler,0.5,6
params_scaler,MinMaxScaler_0_1,0.25,3
params_scaler,MinMaxScaler_-1_1,0.25,3
