Parameter,Mean,Std,Min,25%,Median,75%,Max
params_batch_size,144.0,74.55774368137185,64.0,112.0,128.0,160.0,256.0
params_dnn_dropout_0,0.1875,0.203100960115899,0.0,0.07500000000000001,0.1,0.275,0.5
params_dnn_dropout_1,0.4,0.1,0.2,0.4,0.4,0.45,0.5
params_dnn_dropout_2,0.25,0.20816659994661327,0.0,0.15000000000000002,0.25,0.35000000000000003,0.5
params_dnn_dropout_3,0.0,,0.0,0.0,0.0,0.0,0.0
params_dnn_dropout_4,0.0,,0.0,0.0,0.0,0.0,0.0
params_dnn_dropout_5,0.5,,0.5,0.5,0.5,0.5,0.5
params_dnn_units_0,1076.0,696.0459754929987,160.0,536.0,1040.0,1704.0,1952.0
params_dnn_units_1,992.0,743.1536404629485,32.0,528.0,768.0,1520.0,2048.0
params_dnn_units_2,944.0,703.7575340034853,128.0,512.0,960.0,1392.0,1728.0
params_dnn_units_3,128.0,,128.0,128.0,128.0,128.0,128.0
params_dnn_units_4,128.0,,128.0,128.0,128.0,128.0,128.0
params_dnn_units_5,64.0,,64.0,64.0,64.0,64.0,64.0
params_learning_rate,0.002622418447868933,0.0027499730362308635,0.00011909231086343706,0.0008865471838431997,0.0012607359036980082,0.004518444601088883,0.007841541742239722
params_num_layers,2.75,1.4880476182856899,1.0,2.0,2.5,3.0,6.0
