Parameter,Mean,Std,Min,25%,Median,75%,Max
params_batch_size,221.0909090909091,77.66782415576549,64.0,256.0,256.0,256.0,256.0
params_dense_1_dropout,0.1,0.07071067811865477,0.0,0.1,0.1,0.1,0.2
params_dense_1_units,307.2,83.4457907865939,192.0,256.0,320.0,384.0,384.0
params_dense_2_dropout,0.3666666666666667,0.15275252316519466,0.2,0.30000000000000004,0.4,0.45,0.5
params_dense_2_units,490.6666666666667,36.950417228136054,448.0,480.0,512.0,512.0,512.0
params_dense_3_dropout,0.2,,0.2,0.2,0.2,0.2,0.2
params_dense_3_units,384.0,,384.0,384.0,384.0,384.0,384.0
params_learning_rate,0.0003693759880801673,0.00032570753663912415,2.7041173634357005e-05,7.211706923027248e-05,0.00023990919173268483,0.0006368948256006445,0.0008512786558194157
params_lstm_dropout_layer_0,0.13636363636363638,0.11200649331826504,0.0,0.05,0.1,0.2,0.30000000000000004
params_lstm_dropout_layer_1,0.3666666666666667,0.1224744871391589,0.2,0.30000000000000004,0.4,0.5,0.5
params_lstm_dropout_layer_2,0.30000000000000004,0.15118578920369088,0.1,0.17500000000000002,0.35000000000000003,0.4,0.5
params_lstm_dropout_layer_3,0.27999999999999997,0.2588435821108957,0.0,0.0,0.4,0.5,0.5
params_lstm_dropout_layer_4,0.5,0.0,0.5,0.5,0.5,0.5,0.5
params_lstm_dropout_layer_5,0.0,,0.0,0.0,0.0,0.0,0.0
params_lstm_recurrent_dropout_layer_0,0.15454545454545457,0.1439696937805757,0.0,0.05,0.1,0.30000000000000004,0.4
params_lstm_recurrent_dropout_layer_1,0.37777777777777777,0.1092906420717,0.2,0.30000000000000004,0.4,0.5,0.5
params_lstm_recurrent_dropout_layer_2,0.35000000000000003,0.17728105208558367,0.0,0.275,0.4,0.5,0.5
params_lstm_recurrent_dropout_layer_3,0.08,0.10954451150103323,0.0,0.0,0.0,0.2,0.2
params_lstm_recurrent_dropout_layer_4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
params_lstm_recurrent_dropout_layer_5,0.5,,0.5,0.5,0.5,0.5,0.5
params_lstm_units_layer_0,192.0,78.38367176906169,32.0,144.0,224.0,256.0,256.0
params_lstm_units_layer_1,96.0,50.59644256269407,32.0,64.0,96.0,128.0,160.0
params_lstm_units_layer_2,104.0,83.35809156027643,32.0,32.0,80.0,144.0,256.0
params_lstm_units_layer_3,96.0,64.0,32.0,64.0,64.0,128.0,192.0
params_lstm_units_layer_4,256.0,0.0,256.0,256.0,256.0,256.0,256.0
params_lstm_units_layer_5,256.0,,256.0,256.0,256.0,256.0,256.0
params_num_dense_layers,0.8181818181818182,1.0787197799411874,0.0,0.0,0.0,1.5,3.0
params_num_layers,3.3636363636363638,1.6292775867068985,1.0,2.5,3.0,4.5,6.0
